,buy_z,sell_z,exit_z,pnl
465,1.1,2.3,0.30000000000000004,11.0
466,1.1,2.3,0.4,-0.5
467,1.1,2.3,0.5,8.5
468,1.1,2.3,0.6000000000000001,28.5
469,1.1,2.3,0.7000000000000001,20.0
470,1.1,2.3,0.8,45.0
471,1.1,2.3,0.9,156.5
472,1.1,2.3,1.0,291.0
473,1.1,2.5,0.0,-412.0
474,1.1,2.5,0.1,20.5
475,1.1,2.5,0.2,14.0
476,1.1,2.5,0.30000000000000004,11.0
477,1.1,2.5,0.4,-0.5
478,1.1,2.5,0.5,8.5
479,1.1,2.5,0.6000000000000001,28.5
480,1.1,2.5,0.7000000000000001,20.0
481,1.1,2.5,0.8,45.0
482,1.1,2.5,0.9,156.5
483,1.1,2.5,1.0,291.0
484,1.3,0.5,0.0,797.5
485,1.3,0.5,0.1,416.5
486,1.3,0.5,0.2,555.5
487,1.3,0.5,0.30000000000000004,611.0
488,1.3,0.5,0.4,698.0
489,1.3,0.5,0.5,642.5
490,1.3,0.5,0.6000000000000001,804.0
491,1.3,0.5,0.7000000000000001,776.0
492,1.3,0.5,0.8,888.0
493,1.3,0.5,0.9,975.5
494,1.3,0.5,1.0,949.0
495,1.3,0.7,0.0,474.0
496,1.3,0.7,0.1,554.5
497,1.3,0.7,0.2,617.0
498,1.3,0.7,0.30000000000000004,545.0
499,1.3,0.7,0.4,495.5
500,1.3,0.7,0.5,600.0
501,1.3,0.7,0.6000000000000001,708.0
502,1.3,0.7,0.7000000000000001,683.5
503,1.3,0.7,0.8,787.5
504,1.3,0.7,0.9,824.0
505,1.3,0.7,1.0,826.0
506,1.3,0.9,0.0,867.5
507,1.3,0.9,0.1,599.5
508,1.3,0.9,0.2,592.5
509,1.3,0.9,0.30000000000000004,511.0
510,1.3,0.9,0.4,419.5
511,1.3,0.9,0.5,519.0
512,1.3,0.9,0.6000000000000001,514.0
513,1.3,0.9,0.7000000000000001,473.5
514,1.3,0.9,0.8,575.5
515,1.3,0.9,0.9,669.0
516,1.3,0.9,1.0,801.5
517,1.3,1.1,0.0,380.5
518,1.3,1.1,0.1,441.0
519,1.3,1.1,0.2,452.0
520,1.3,1.1,0.30000000000000004,420.5
521,1.3,1.1,0.4,375.5
522,1.3,1.1,0.5,486.0
523,1.3,1.1,0.6000000000000001,490.5
524,1.3,1.1,0.7000000000000001,506.5
525,1.3,1.1,0.8,599.5
526,1.3,1.1,0.9,577.5
527,1.3,1.1,1.0,600.0
528,1.3,1.3,0.0,380.0
529,1.3,1.3,0.1,450.0
530,1.3,1.3,0.2,475.5
531,1.3,1.3,0.30000000000000004,444.0
532,1.3,1.3,0.4,399.0
533,1.3,1.3,0.5,515.5
534,1.3,1.3,0.6000000000000001,529.0
535,1.3,1.3,0.7000000000000001,514.0
536,1.3,1.3,0.8,608.5
537,1.3,1.3,0.9,647.0
538,1.3,1.3,1.0,723.5
539,1.3,1.5,0.0,324.5
540,1.3,1.5,0.1,425.5
541,1.3,1.5,0.2,463.0
542,1.3,1.5,0.30000000000000004,431.5
543,1.3,1.5,0.4,386.5
544,1.3,1.5,0.5,507.5
545,1.3,1.5,0.6000000000000001,536.5
546,1.3,1.5,0.7000000000000001,465.0
547,1.3,1.5,0.8,604.5
548,1.3,1.5,0.9,624.5
549,1.3,1.5,1.0,728.0
550,1.3,1.7000000000000002,0.0,340.0
551,1.3,1.7000000000000002,0.1,437.5
552,1.3,1.7000000000000002,0.2,518.0
553,1.3,1.7000000000000002,0.30000000000000004,486.5
554,1.3,1.7000000000000002,0.4,441.5
555,1.3,1.7000000000000002,0.5,549.0
556,1.3,1.7000000000000002,0.6000000000000001,517.5
557,1.3,1.7000000000000002,0.7000000000000001,463.0
558,1.3,1.7000000000000002,0.8,507.5
559,1.3,1.7000000000000002,0.9,501.5
560,1.3,1.7000000000000002,1.0,631.0
561,1.3,1.9000000000000001,0.0,271.5
562,1.3,1.9000000000000001,0.1,416.5
563,1.3,1.9000000000000001,0.2,375.5
564,1.3,1.9000000000000001,0.30000000000000004,356.5
565,1.3,1.9000000000000001,0.4,318.5
566,1.3,1.9000000000000001,0.5,397.5
567,1.3,1.9000000000000001,0.6000000000000001,385.0
568,1.3,1.9000000000000001,0.7000000000000001,342.0
569,1.3,1.9000000000000001,0.8,402.0
570,1.3,1.9000000000000001,0.9,421.5
571,1.3,1.9000000000000001,1.0,601.5
572,1.3,2.1,0.0,-398.5
573,1.3,2.1,0.1,72.5
574,1.3,2.1,0.2,64.5
575,1.3,2.1,0.30000000000000004,47.0
576,1.3,2.1,0.4,43.0
577,1.3,2.1,0.5,77.5
578,1.3,2.1,0.6000000000000001,89.0
579,1.3,2.1,0.7000000000000001,98.5
580,1.3,2.1,0.8,166.0
581,1.3,2.1,0.9,207.0
582,1.3,2.1,1.0,287.5
583,1.3,2.3,0.0,-398.5
584,1.3,2.3,0.1,72.5
585,1.3,2.3,0.2,64.5
586,1.3,2.3,0.30000000000000004,47.0
587,1.3,2.3,0.4,43.0
588,1.3,2.3,0.5,77.5
589,1.3,2.3,0.6000000000000001,89.0
590,1.3,2.3,0.7000000000000001,98.5
591,1.3,2.3,0.8,166.0
592,1.3,2.3,0.9,207.0
593,1.3,2.3,1.0,287.5
594,1.3,2.5,0.0,-398.5
595,1.3,2.5,0.1,72.5
596,1.3,2.5,0.2,64.5
597,1.3,2.5,0.30000000000000004,47.0
598,1.3,2.5,0.4,43.0
599,1.3,2.5,0.5,77.5
600,1.3,2.5,0.6000000000000001,89.0
601,1.3,2.5,0.7000000000000001,98.5
602,1.3,2.5,0.8,166.0
603,1.3,2.5,0.9,207.0
604,1.3,2.5,1.0,287.5
605,1.5,0.5,0.0,825.0
606,1.5,0.5,0.1,383.5
607,1.5,0.5,0.2,522.5
608,1.5,0.5,0.30000000000000004,584.0
609,1.5,0.5,0.4,671.0
610,1.5,0.5,0.5,619.0
611,1.5,0.5,0.6000000000000001,765.0
612,1.5,0.5,0.7000000000000001,717.0
613,1.5,0.5,0.8,848.5
614,1.5,0.5,0.9,898.0
615,1.5,0.5,1.0,753.5
616,1.5,0.7,0.0,501.5
617,1.5,0.7,0.1,521.5
618,1.5,0.7,0.2,584.0
619,1.5,0.7,0.30000000000000004,518.0
620,1.5,0.7,0.4,468.5
621,1.5,0.7,0.5,576.5
622,1.5,0.7,0.6000000000000001,669.0
623,1.5,0.7,0.7000000000000001,624.5
624,1.5,0.7,0.8,748.0
625,1.5,0.7,0.9,746.5
626,1.5,0.7,1.0,630.5
627,1.5,0.9,0.0,895.0
628,1.5,0.9,0.1,566.5
629,1.5,0.9,0.2,559.5
630,1.5,0.9,0.30000000000000004,484.0
631,1.5,0.9,0.4,392.5
632,1.5,0.9,0.5,495.5
633,1.5,0.9,0.6000000000000001,475.0
634,1.5,0.9,0.7000000000000001,414.5
635,1.5,0.9,0.8,536.0
636,1.5,0.9,0.9,591.5
637,1.5,0.9,1.0,606.0
638,1.5,1.1,0.0,491.0
639,1.5,1.1,0.1,408.0
640,1.5,1.1,0.2,419.0
641,1.5,1.1,0.30000000000000004,393.5
642,1.5,1.1,0.4,348.5
643,1.5,1.1,0.5,462.5
644,1.5,1.1,0.6000000000000001,451.5
645,1.5,1.1,0.7000000000000001,447.5
646,1.5,1.1,0.8,560.0
647,1.5,1.1,0.9,500.0
648,1.5,1.1,1.0,404.5
649,1.5,1.3,0.0,490.5
650,1.5,1.3,0.1,417.0
651,1.5,1.3,0.2,442.5
652,1.5,1.3,0.30000000000000004,417.0
653,1.5,1.3,0.4,372.0
654,1.5,1.3,0.5,492.0
655,1.5,1.3,0.6000000000000001,490.0
656,1.5,1.3,0.7000000000000001,455.0
657,1.5,1.3,0.8,569.0
658,1.5,1.3,0.9,569.5
659,1.5,1.3,1.0,528.0
660,1.5,1.5,0.0,435.0
661,1.5,1.5,0.1,392.5
662,1.5,1.5,0.2,430.0
663,1.5,1.5,0.30000000000000004,404.5
664,1.5,1.5,0.4,359.5
665,1.5,1.5,0.5,484.0
666,1.5,1.5,0.6000000000000001,497.5
667,1.5,1.5,0.7000000000000001,406.0
668,1.5,1.5,0.8,565.0
669,1.5,1.5,0.9,547.0
670,1.5,1.5,1.0,532.5
671,1.5,1.7000000000000002,0.0,450.5
672,1.5,1.7000000000000002,0.1,404.5
673,1.5,1.7000000000000002,0.2,485.0
674,1.5,1.7000000000000002,0.30000000000000004,459.5
675,1.5,1.7000000000000002,0.4,414.5
676,1.5,1.7000000000000002,0.5,525.5
677,1.5,1.7000000000000002,0.6000000000000001,478.5
678,1.5,1.7000000000000002,0.7000000000000001,404.0
679,1.5,1.7000000000000002,0.8,468.0
680,1.5,1.7000000000000002,0.9,424.0
681,1.5,1.7000000000000002,1.0,435.5
682,1.5,1.9000000000000001,0.0,382.0
683,1.5,1.9000000000000001,0.1,383.5
684,1.5,1.9000000000000001,0.2,342.5
