,buy_z,sell_z,max_z,pnl
162,0.9,0.6,2.0,258342851.0
163,0.5,0.8,2.0,257899292.0
164,0.8,0.7000000000000001,2.0,257577444.0
165,0.9,1.0,1.5,256973253.0
166,0.6,0.8,2.0,255348926.0
167,1.0,0.30000000000000004,2.0,254455129.0
168,1.0,0.1,2.0,254333990.0
169,1.0,0.2,2.0,254280342.0
170,1.0,0.4,2.0,253634613.0
171,0.7000000000000001,0.8,2.0,253628409.0
172,0.1,0.1,2.5,253388737.0
173,0.1,0.2,2.5,253129188.0
174,0.2,0.1,2.5,252836136.0
175,1.0,0.5,2.0,252593095.0
176,0.2,0.2,2.5,252581310.0
177,0.1,0.30000000000000004,2.5,252216656.0
178,0.9,0.7000000000000001,2.0,251688742.0
179,0.2,0.30000000000000004,2.5,251680452.0
180,0.30000000000000004,0.1,2.5,251542658.0
181,0.30000000000000004,0.2,2.5,251290491.0
182,0.2,0.9,2.0,250941954.0
183,0.1,0.9,2.0,250932649.0
184,0.30000000000000004,0.9,2.0,250639268.0
185,0.30000000000000004,0.30000000000000004,2.5,250411927.0
186,1.0,0.6,2.0,250390735.0
187,0.8,0.8,2.0,250380080.0
188,1.0,1.0,1.5,249743422.0
189,0.1,0.4,2.5,249692344.0
190,0.2,0.4,2.5,249283032.0
191,0.4,0.9,2.0,248898018.0
192,0.30000000000000004,0.4,2.5,248140471.0
193,0.4,0.1,2.5,247701624.0
194,0.4,0.2,2.5,247440495.0
195,0.5,0.9,2.0,246997907.0
196,0.4,0.30000000000000004,2.5,246601995.0
197,0.9,0.8,2.0,245150861.0
198,0.6,0.9,2.0,244869164.0
199,0.1,0.5,2.5,244862041.0
200,0.2,0.5,2.5,244762911.0
201,0.4,0.4,2.5,244573641.0
202,1.0,0.7000000000000001,2.0,244284968.0
203,0.30000000000000004,0.5,2.5,243808928.0
204,0.7000000000000001,0.9,2.0,243711363.0
205,0.5,0.1,2.5,243652946.0
206,0.5,0.2,2.5,243399493.0
207,0.5,0.30000000000000004,2.5,242598360.0
208,0.8,0.9,2.0,241168667.0
209,0.5,0.4,2.5,240785124.0
210,0.4,0.5,2.5,240503575.0
211,0.6,0.1,2.5,240261147.0
212,0.6,0.2,2.5,240020841.0
213,0.2,0.6,2.5,239755113.0
214,0.1,0.6,2.5,239616799.0
