window,z_entry,z_exit,total_profit,trades,avg_profit,win_rate
10,2.2,0.3,-9.0,21,-0.42857142857142855,0.42857142857142855
10,2.2,0.5,-95.0,22,-4.318181818181818,0.3181818181818182
10,2.2,0.7,-102.0,22,-4.636363636363637,0.2727272727272727
10,2.2,0.9,-80.0,22,-3.6363636363636362,0.22727272727272727
10,2.4,0.1,-229.0,6,-38.166666666666664,0.0
10,2.4,0.3,-75.0,7,-10.714285714285714,0.2857142857142857
10,2.4,0.5,-77.0,7,-11.0,0.14285714285714285
10,2.4,0.7,-55.0,7,-7.857142857142857,0.14285714285714285
10,2.4,0.9,-30.0,7,-4.285714285714286,0.14285714285714285
11,0.8,0.1,-11.0,22,-0.5,0.36363636363636365
11,0.8,0.3,-544.0,67,-8.119402985074627,0.31343283582089554
11,0.8,0.5,-623.0,98,-6.357142857142857,0.30612244897959184
11,0.8,0.7,-632.0,116,-5.448275862068965,0.3017241379310345
11,0.8,0.9,-587.0,133,-4.413533834586466,0.3082706766917293
11,1.0,0.1,-204.0,21,-9.714285714285714,0.38095238095238093
11,1.0,0.3,-454.0,59,-7.694915254237288,0.3389830508474576
11,1.0,0.5,-551.0,89,-6.191011235955056,0.3258426966292135
11,1.0,0.7,-606.0,107,-5.663551401869159,0.29906542056074764
11,1.0,0.9,-551.0,122,-4.516393442622951,0.30327868852459017
11,1.2,0.1,-164.0,21,-7.809523809523809,0.42857142857142855
11,1.2,0.3,-274.0,55,-4.9818181818181815,0.38181818181818183
11,1.2,0.5,-481.0,76,-6.328947368421052,0.32894736842105265
11,1.2,0.7,-538.0,91,-5.912087912087912,0.2967032967032967
11,1.2,0.9,-493.0,103,-4.786407766990291,0.2912621359223301
11,1.4,0.1,-93.0,20,-4.65,0.45
11,1.4,0.3,-281.0,51,-5.509803921568627,0.37254901960784315
11,1.4,0.5,-469.0,71,-6.605633802816901,0.30985915492957744
11,1.4,0.7,-490.0,82,-5.975609756097561,0.2804878048780488
11,1.4,0.9,-447.0,92,-4.858695652173913,0.2608695652173913
11,1.6,0.1,-147.0,20,-7.35,0.35
11,1.6,0.3,-276.0,45,-6.133333333333334,0.28888888888888886
11,1.6,0.5,-505.0,63,-8.015873015873016,0.20634920634920634
11,1.6,0.7,-598.0,73,-8.191780821917808,0.1780821917808219
11,1.6,0.9,-596.0,78,-7.641025641025641,0.15384615384615385
11,1.8,0.1,-225.0,19,-11.842105263157896,0.3157894736842105
11,1.8,0.3,-281.0,39,-7.205128205128205,0.28205128205128205
11,1.8,0.5,-543.0,53,-10.245283018867925,0.18867924528301888
11,1.8,0.7,-605.0,60,-10.083333333333334,0.16666666666666666
11,1.8,0.9,-599.0,63,-9.507936507936508,0.14285714285714285
11,2.0,0.1,-301.0,19,-15.842105263157896,0.3157894736842105
11,2.0,0.3,-223.0,33,-6.757575757575758,0.30303030303030304
11,2.0,0.5,-385.0,41,-9.390243902439025,0.21951219512195122
11,2.0,0.7,-439.0,45,-9.755555555555556,0.15555555555555556
11,2.0,0.9,-425.0,46,-9.23913043478261,0.15217391304347827
